Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Is Training
10000,1.5991096,27.09269662921348,0.11090738,0.2535211267605634,0.2535211267605634,0.068822585,0.093076296,0.00029692397,0.19897467,0.0098975655,1.0
20000,1.5523145,26.07027027027027,0.21042126,0.35945945945945945,0.35945945945945945,0.053109188,0.09847408,0.00029138877,0.1971296,0.009713246,1.0
30000,1.4624565,19.99579831932773,0.4008677,0.542016806722689,0.542016806722689,0.07143656,0.0997115,0.00028526463,0.1950882,0.009509311,1.0
40000,1.3904006,17.926136363636363,0.50498694,0.5549242424242424,0.5549242424242424,0.06754321,0.09936098,0.00027916,0.19305333,0.009306027,1.0
50000,1.250045,16.364583333333332,0.5497779,0.5972222222222222,0.5972222222222222,0.06702055,0.10509549,0.0002730606,0.1910202,0.009102917,1.0
60000,1.1563501,16.92128801431127,0.5948496,0.6350626118067979,0.6350626118067979,0.058021832,0.102128014,0.00026694484,0.18898158,0.008899261,1.0
70000,1.0229151,15.683946488294314,0.6334354,0.6739130434782609,0.6739130434782609,0.05446235,0.094699696,0.0002608172,0.18693909,0.008695214,1.0
80000,0.99596274,15.420361247947454,0.66249335,0.6469622331691297,0.6469622331691297,0.05167184,0.1009113,0.00025468745,0.18489583,0.00849109,1.0
90000,0.97182274,18.026365348399246,0.6863691,0.7045454545454546,0.7045454545454546,0.046176724,0.09621102,0.00024853673,0.18284556,0.008286272,1.0
100000,0.8640743,14.22239263803681,0.6677642,0.6625954198473283,0.6625954198473283,0.048786182,0.09601424,0.00024302462,0.18100819,0.008102719,1.0
110000,0.83733994,13.803254437869823,0.65510935,0.6464497041420119,0.6464497041420119,0.049824636,0.101714686,0.00023751846,0.1791728,0.007919362,1.0
120000,0.7880731,12.534506089309879,0.6080027,0.638700947225981,0.638700947225981,0.055391062,0.10142024,0.00023139271,0.17713088,0.007715375,1.0
130000,0.8187976,13.587463556851311,0.6380658,0.6428571428571429,0.6428571428571429,0.049858186,0.095110334,0.0002252349,0.17507829,0.0075103203,1.0
140000,0.8552983,13.43063583815029,0.63646024,0.653179190751445,0.653179190751445,0.056300305,0.09663238,0.00021910791,0.17303595,0.0073062927,1.0
150000,0.8883698,13.95059880239521,0.6472042,0.6377245508982036,0.6377245508982036,0.05956359,0.10517545,0.00021298516,0.17099504,0.007102405,1.0
